image_Path,image_name,text
France_Pages\France_Page34.png,France_Page34.png,"building with trophys etc.&Marius's old sybil on it.There remains also a very stately peice of Roman building,very high,&176 of my steps  in  front, on  I7  arches.They  cal  it  an  amphytheater,but  the figure of it seems not at all to favour that opinion,it being thus as  it now  stands.There  is  also  in  the  floor  of a litle house mosaic worke very perfect,divided into squares something like our inlaid floors.There was but one figure   in   that    which    we    saw,which   was    of    a    cat,the bignesse    of   the    life. Here I  also  saw  the way  of windeing  silk  by  an  engine  that   Bombycina turnes at once I34 bobins.It is too intricate to be described upon   soe short a view,but all these were turned by one woman,&they both twisted &wound off the silk at once. The  Parlement  of the  towne  are  I2, ?Protestants  &    ?Papists, &4   Consuls ,2   Protestants   &2   Papists.There   are   2   Protestant  churches in the towne. One we were in of a pretty sort of building,  one  long  stone  arch,like  a  bridg, runing "
France_Pages\France_Page35.png,France_Page35.png,"the  whole  length  of the  church,&supporting the rafters like the main beam of the building, a new, but not incommodious way for such a room. 31 dec. We came to Avignion, 4 leagues from Orange, part of the way over a hil & part through a valey, both very stony, covered thick with pebbles, & amongst those pebbles mulberry trees, corne & vineards. Avignon is placed in a large valey on the banks ol the Rhosne, which goes about half round it. The wals are all entire (& noe houses near them) with batlements & towers at litle distances, after the old way of fortification. The compasse of the walls is about 6,000 common paces.3 The streets wider & the town better built then any between this & Lyons. The Pope��s Pallace is a large, old building with high towers. We saw, besides the hall, 3 or 4 rooms of a row, 2 hung with damask & beds of the same, but old. In another part of the Pallace a very large, handsome roome where formerly the "
France_Pages\France_Page36.png,France_Page36.png,"conclave was kept when the Popes kept their residence here. Wednesday Jan. 1676. The Church of Nostre Dame is placed upon an high rock above the towne close by the Palace. The quire of St. Peter��s church is very rich in guilding & painting, & soe is the altar ofthe Celestines�� Church, & their covent, a very large one, kept very cleane. Here were roses blown at this time, & by the way between this & Lyons we had green pease, though but a few. It was here soe warme that we dind without fire with the windows open. The Vice Legate went to the Jesuits�� Church with a guard of about 12 Swisse. Here the Jews have a quarter to themselves where they have a synagoge. The place where they inhabit is the nastiest & most . stinking that ever I was yet in, & they all clad like beggers, though we were told some of them were rich. They were yellow hats for distinction, as at Orange, where are about 12 familys of them. Here are some arches standing of the bridge which was built "
France_Pages\France_Page37.png,France_Page37.png,"much after the fashion of Pont St. Esprit, but some years since it fell, & to encourage the rebuilding of it, this last yeare upon the Key (which is a very handsome one) they have set up the statue of one St. Benedict, a shepheard, who built the former bridg. The Rhosne is sometimes very unruly, soe that about the middle of November 1674 it overflowed the head of the Statue of a Bishop which stands there on the Key &, I beleive, is at least 15 foot higher then the top of the water as it now is. At the same time it overflowd all the plain about Pon St. Esprit & made it a sea. Some marks of this inundation we saw on the way a good way off the river. Avignon is governed by a Vice Legate. The present is Carolus Anguisciola de Picansa, a fat, well-looked man. The imployment is worth about five thousand pounds sterling per annum. There is noe taxe laid upon this country which is 1 long and 1 broad. "
France_Pages\France_Page38.png,France_Page38.png,"Here is also an Archbishop, cald at present Jacinto Libelli of Perugia. His revenue is much above that of the Vice Legate��s, but the donation of all the spiritualitys is wholly in the Vice Legate. The greatest part of the trade of this towne is silk manifacture, & the town, as it is bigger then any between this & Lyons, soe the people look more comfortably, & the towne more thriving, & the streets are broader. Here we staid a whole day & paid one liver per meale for each of us, & one liver per night for our horses, & 10s. for Mr. Charleton��s servant per diem. 2 Jan. 1676. TH. We passed the Rhosne partly by the Trill,3 a way of Ferry usuall in these parts, & partly by the remains ofthe bridge, at the end whereof we paid a toll of 3 s. per person & 3 s. for our portmanteaus, but were not searchd nor examind what we carried, as we expected, our Voiturine making us passe for Swisse. Hence we went to Pont du Gard, 4 leagues over barren, rocky hils, a good part ofthe way well stord with time, & pebly vallys. The bridge it self is "
France_Pages\France_Page39.png,France_Page39.png,"an admirable structure, vid. the discription of it in Le Voyageur d��Europe, p. 144, 8��, Paris, 1672. In this day��s journey we passed by a grove of oaks, & those noe very good ones, the only place that I saw between this & Lyon that had any shew of timber. At Pont du Gard some ofthe arches ofthe 2nd rowwere 30 steps wide. Memoranda the house of office4 at the Celestins in Avignion. Between Orange & this we saw them pruning their vines in severall places, some vineards being prund, some not, & soe on all the way to Montpellier. 3 Jan. FRID. We went from Pont du Gard to Nismes, 4 leagues. Here we saw an amphitheater of very large stones, an admirable structure, if we consider that it hath stood ever since the Romans�� time & built without any mortar. At the entrance, which is under an arch, the wall is 17 of my paces thick. Ascending up a paire of stairs we came to a walke round in which there is, towards "
France_Pages\France_Page40.png,France_Page40.png,"the outside from whence the light comes, 60 Arches in the whole circumference, the space of each arch being 11 of my paces, so that in the whole circumference it is 660 of my steps in a circle 2 or 3 yards within the out most bounds of it, for soe thick is the wall in all those arches. To support the walls over the passage where you goe round, there is a stone laid, about 20 inches or 2 foot square & almost 6 times the length of my sword, which was near about a philosophical yard long, upon which were turnd other arcnes contrary to those by which the light enterd & were open to the outside. Most of these stones I observed in my walk round to be crackd, which I suppose might be the effect of the fire which the Christians heretofore applied to this Amphitheatre with designe to destroy it, as Deyron tells us in his Antiquites de Nismes, 40, Nismes, 1663...... "
France_Pages\France_Page41.png,France_Page41.png,"Thus stands almost entire yet this wonderfull structure inspight ofthe force of 1500 years & the attempts ofthe first Christians who endeavord both by fire & with tools to ruin it. There are a great many other antiquitys remaining in this towne, which who will, may see exactly describd by Deyron.... On the east side upon a pillaster ofthis Amphitheater is a priapus in memory of Osyris, the father of Nemausus, the founder "
France_Pages\France_Page42.png,France_Page42.png,"of Nismes. On the West another with 2 lesse at the root ofit, bridled, & a woman holding the reins, both winged. For the use of Nismes & the Theater there the aqueduct of Pont du Gard was built &, as is supposed, about the same time. Pont du Gard is built over the river Gardon on 3 rows of Arches, one over an other: 136 canes longue, 31 canes high above the water of the river, & 3 canes 4 pans broad; the water course 4 pans broad & as high as one��s midle.1 It caried the water of the Fountain d��Aure to Nismes from whence it is 3 leagues, but the aqueduct, sometimes carried on Arches, sometimes cut through rocks, is 9 leagues long. On Pont du Gard is an other priapus & is all of huge stones. At Nismes they have now but one Temple (the other by the King��s order being pulled down about 4 years since), its root supported on an Arch like that at Orange. 2 of their Consuls are Protestants, two Papists, but are not permitted to receive the sacrament in their robes as formerly. The Protestants had built them here too an hospitall for their sick, but that is taken from them. A chamber in it is left for their sick, but never used, because the preists trouble them when there, "
France_Pages\France_Page44.png,France_Page44.png,"but notwithstanding their discouragement, I doe not finde that many of them goe over. One of them told me, when I asked him the question, that the Papists did noe thing but by force or money. Their fountain is about the bignesse of an ordinary pond, but, they say, bottomlesse. Here I saw also an engine to twist & winde silke. Two winches going in a wheele turnd 3 engines w[h]ere in were turnd at once 30 dozen of bobbins. It is too curious a thing to be describd at large, & requires a longer time to observe all the parts of it. The town is now but small, not soe big, I think, as Reading, but its g nrdle 1 is shrunk with its body, haveing walls close about it. "
